Huoneisto,Pvm,Tyyppi,Erä,Huom
#
A1,2009-08-19,pienloiste,1,
A1,2012-01-22,pienloiste,1,
A1,2016-03-15,pienloiste,5,
A1,2017-10-29,pienloiste,7,
A1,2020-09-19,led,10,
#
A2,2010-10-27,pienloiste,1,
A2,2013-01-12,pienloiste,2,
A2,2014-12-06,pienloiste,4,
A2,2019-10-03,led,8,
A2,2021-02-14,led,10,
#
A3,2011-11-06,pienloiste,1,
A3,2012-08-01,pienloiste,3,
A3,2015-01-25,pienloiste,4,
A3,2017-10-07,pienloiste,5,
A3,2021-08-31,led,11,5W
#
A4,2010-09-19,pienloiste,1,
A4,2012-08-01,pienloiste,3,
A4,2017-11-11,pienloiste,7,
A4,2018-10-01,led,9,8.5W
A4,2021-06-26,led,11,5W
#
A5,2011-01-08,pienloiste,1,
A5,2013-09-08,pienloiste,2,
A5,2014-12-06,pienloiste,4,
A5,2020-08-20,led,10,
#
A6,2014-03-28,pienloiste,4,
A6,2015-09-30,led,6,
A6,2017-11-11,pienloiste,7,
A6,2019-08-04,led,8,
A6,2022-05-29,led,11,5W
#
A7,2009-09-29,pienloiste,1,
A7,2011-08-14,pienloiste,1,
A7,2013-12-21,pienloiste,2,
A7,2016-11-20,pienloiste,5,
A7,2018-10-10,led,8,
A7,2020-10-17,led,10,
#
A8,2013-09-08,pienloiste,2,
A8,2015-08-30,pienloiste,4,
A8,2017-02-04,pienloiste,5,
A8,2018-09-01,pienloiste,7,
A8,2020-03-31,led,10,
#
B9,2013-01-29,pienloiste,2,
B9,2015-08-30,pienloiste,3,
B9,2017-10-07,pienloiste,7,
B9,2022-01-15,led,11,5W
#
B10,2014-02-16,pienloiste,4,
B10,2016-08-15,pienloiste,5,
B10,2018-09-01,pienloiste,7,
B10,2019-11-16,led,8,
B10,2021-07-30,led,11,5W
#
B11,2013-11-02,pienloiste,2,
B11,2016-08-15,pienloiste,7,
B11,2017-12-24,led,8,
B11,2021-06-26,led,11,5W
#
B12,2010-01-12,pienloiste,1,
B12,2013-02-10,pienloiste,2,
B12,2019-09-22,led,8,
B12,2022-08-07,led,11,5W
#
B13,2010-08-19,pienloiste,1,
B13,2012-08-01,pienloiste,3,
B13,2016-01-23,pienloiste,5,
B13,2018-10-21,led,8,
B13,2021-03-06,led,10,
#
B14,2009-08-24,pienloiste,1,
B14,2012-02-24,pienloiste,2,
B14,2017-12-17,led,8,
B14,2019-08-04,led,8,
B14,2021-06-26,led,11,5W
#
C15,2010-03-07,pienloiste,1,
C15,2012-08-01,pienloiste,2,
C15,2017-10-07,pienloiste,7,
C15,2021-02-27,led,10,
#
C16,2010-10-09,pienloiste,1,
C16,2012-08-01,pienloiste,3,
C16,2015-10-31,pienloiste,5,
C16,2019-12-09,led,8,
C16,2023-08-12,led,11,5W
#
C17,2012-11-18,pienloiste,3,
C17,2014-10-19,pienloiste,4,
C17,2018-10-01,led,9,8.5W
C17,2022-01-06,led,11,5W
#
C18,2009-08-24,pienloiste,1,
C18,2011-12-03,pienloiste,1,
C18,2015-11-22,pienloiste,5,
C18,2018-01-13,pienloiste,7,
C18,2019-12-18,led,10,
#
C19,2012-08-01,pienloiste,3,
C19,2015-12-31,pienloiste,5,
C19,2019-12-09,led,10,
C19,2022-08-07,led,11,5W
#
C20,2009-03-01,pienloiste,1,
C20,2010-03-07,pienloiste,1,
C20,2015-02-22,pienloiste,4,
C20,2020-11-05,led,10,
#
C21,2011-08-14,pienloiste,1,
C21,2013-09-08,pienloiste,3,
C21,2014-10-19,pienloiste,3,
C21,2015-08-30,pienloiste,4,
C21,2018-12-01,led,8,
C21,2020-11-22,led,10,
#
C22,2008-12-04,pienloiste,1,
C22,2010-09-19,pienloiste,1,
C22,2013-01-12,pienloiste,3,
C22,2015-08-30,pienloiste,5,
C22,2020-08-20,led,10,
#
tekn,2008-10-03,pienloiste,1,
tekn,2012-01-22,pienloiste,2,
tekn,2015-10-31,pienloiste,4,
tekn,2019-12-01,led,8,
tekn,2021-08-31,led,11,5W
